Library ID,NCBI Biosample ID,type,condition,sex,tissue,reads,read length,Uniquely mapped (%),Multi-mappers (%),featureCount_unique,featureCount_ambiguous,featureCount_multimapped,featureCount_nofeatures
Fe_Ov_O_3,SRS556077,paired,O,female,ovaries,49124005,2x101,85.93%,4.46%,81.70%,1.82%,10.28%,6.20%
Fe_Ov_O_4,SRS556079,paired,O,female,ovaries,140590581,2x101,89.13%,4.03%,80.97%,1.77%,9.19%,8.07%
Fe_Ov_SF_1,SRS556055,paired,SF,female,ovaries,97380292,2x101,89.97%,3.66%,82.70%,1.71%,8.13%,7.46%
Fe_Ov_SF_2,SRS556056,paired,SF,female,ovaries,112313760,2x101,89.59%,3.74%,82.32%,1.64%,8.32%,7.73%
Fe_Ov_SF_3,SRS556057,paired,SF,female,ovaries,71980683,2x101,86.17%,4.09%,81.12%,1.70%,9.38%,7.80%
Fe_Pa_SF_1,SRS556046,paired,SF,female,palps,115740756,2x101,78.93%,13.37%,60.87%,1.53%,27.16%,10.44%
Fe_Pa_SF_2,SRS556047,paired,SF,female,palps,25509930,2x101,78.21%,15.85%,55.92%,1.42%,30.76%,11.89%
Fe_Pa_SF_3,SRS556048,paired,SF,female,palps,32994995,2x101,76.14%,15.89%,54.66%,1.39%,31.40%,12.55%
Fe_Pa_SF_4,SRS556049,paired,SF,female,palps,132793187,2x101,82.83%,8.60%,65.69%,1.59%,19.11%,13.62%
Fe_Rs_BF_1,SRS556132,single,BF,female,rostrum,97031527,1x101,80.81%,10.14%,65.34%,1.41%,23.93%,9.33%
Fe_Rs_BF_2,SRS556133,single,BF,female,rostrum,89928369,1x101,85.39%,8.80%,67.50%,1.54%,20.37%,10.59%
Fe_Rs_BF_3,SRS556134,single,BF,female,rostrum,99502681,1x101,71.32%,6.45%,71.88%,1.54%,17.90%,8.68%
Fe_Rs_SF_1,SRS556106,single,SF,female,rostrum,115771444,1x101,79.44%,10.21%,65.33%,1.42%,24.15%,9.09%
Fe_Rs_SF_2,SRS556107,single,SF,female,rostrum,57923066,1x101,83.09%,9.08%,67.34%,1.58%,21.18%,9.89%
Fe_Rs_SF_3,SRS556108,single,SF,female,rostrum,87611454,1x101,82.24%,9.16%,67.33%,1.64%,21.44%,9.59%
Ma_An_1,SRS556082,paired,male,male,antenna,90506823,2x101,84.09%,6.38%,67.97%,1.35%,15.09%,15.59%
Ma_An_2,SRS556083,paired,male,male,antenna,109546909,2x101,85.14%,7.39%,66.26%,1.32%,16.75%,15.66%
Ma_An_3,SRS556084,paired,male,male,antenna,94952039,2x101,85.02%,7.49%,66.29%,1.32%,17.00%,15.39%
Ma_At_1,SRS556094,paired,male,male,abdominaltip,140111832,2x101,81.35%,9.37%,48.02%,1.06%,20.45%,30.47%
Ma_At_2,SRS556095,paired,male,male,abdominaltip,99234920,2x101,82.04%,9.47%,47.80%,1.04%,20.13%,31.03%
Ma_At_3,SRS556096,paired,male,male,abdominaltip,91318564,2x101,81.47%,9.44%,48.38%,1.11%,20.23%,30.28%
Ma_Br_1,SRS556078,paired,male,male,brain,69674774,2x101,86.07%,6.65%,63.98%,1.55%,15.41%,19.06%
Ma_Br_2,SRS556080,paired,male,male,brain,79391572,2x101,86.64%,6.07%,65.31%,1.58%,14.30%,18.81%
Ma_Br_3,SRS556081,paired,male,male,brain,101927023,2x101,86.42%,5.71%,65.99%,1.58%,13.77%,18.65%
Ma_FL_1,SRS556085,paired,male,male,forelegs,69013290,2x101,87.07%,7.23%,70.22%,1.59%,15.92%,12.27%
Ma_FL_2,SRS556086,paired,male,male,forelegs,62331321,2x101,86.07%,7.93%,68.34%,1.58%,17.38%,12.69%
Ma_FL_3,SRS556087,paired,male,male,forelegs,45807741,2x101,85.79%,6.56%,71.33%,1.61%,14.96%,12.09%
Ma_HL_1,SRS556088,paired,male,male,hindlegs,63703087,2x101,86.23%,6.37%,71.78%,1.65%,14.81%,11.76%
Ma_HL_2,SRS556089,paired,male,male,hindlegs,54674153,2x101,86.25%,6.54%,71.07%,1.67%,14.97%,12.29%
Ma_HL_3,SRS556090,paired,male,male,hindlegs,42407368,2x101,85.86%,6.64%,70.83%,1.63%,15.19%,12.35%
Ma_HL_4,SRS556162,single,male,male,hindlegs,254224507,1x101,77.92%,11.35%,60.37%,1.40%,26.91%,11.32%
Ma_HL_5,SRS556163,single,male,male,hindlegs,229737234,1x101,81.53%,9.98%,64.64%,1.47%,23.31%,10.57%
Ma_ML_1,SRS556091,paired,male,male,midlegs,52528588,2x101,84.43%,8.31%,67.66%,1.56%,18.11%,12.67%
Ma_ML_2,SRS556092,paired,male,male,midlegs,60012714,2x101,86.74%,7.18%,70.04%,1.59%,15.86%,12.51%
Ma_ML_3,SRS556093,paired,male,male,midlegs,45483497,2x101,87.09%,6.45%,71.72%,1.64%,14.53%,12.11%
Ma_Rs_1,SRS556159,single,male,male,rostrum,85726420,1x101,84.10%,8.50%,67.30%,1.41%,20.08%,11.21%
Ma_Rs_2,SRS556160,single,male,male,rostrum,100861075,1x101,79.74%,9.07%,65.46%,1.37%,22.09%,11.09%
Ma_Rs_3,SRS556161,single,male,male,rostrum,178492023,1x101,83.55%,9.92%,64.57%,1.49%,22.82%,11.12%
